coordinates,map,team
"138.38 29.07 52.14",ns2_unearthed,marines
"98.37 30.49 75.95",ns2_unearthed,aliens
"104.91 32.36 90.37",ns2_unearthed,marines
"91.39 30.49 73.80",ns2_unearthed,aliens
"86.43 29.52 50.78",ns2_unearthed,aliens
"88.14 30.67 44.56",ns2_unearthed,marines
"90.72 30.90 68.37",ns2_unearthed,aliens
"88.45 36.58 140.22",ns2_unearthed,marines
"95.01 37.35 139.22",ns2_unearthed,marines
"86.20 28.75 27.05",ns2_unearthed,aliens
"127.35 29.07 39.06",ns2_unearthed,marines
"162.54 29.23 79.91",ns2_unearthed,marines
"135.09 32.04 37.76",ns2_unearthed,aliens
"130.85 29.06 35.36",ns2_unearthed,marines
"131.68 29.07 41.21",ns2_unearthed,marines
"128.80 27.58 53.33",ns2_unearthed,aliens
"130.94 30.30 71.26",ns2_unearthed,aliens
"93.70 35.00 108.39",ns2_unearthed,aliens
"148.97 31.85 87.08",ns2_unearthed,aliens
"144.76 30.97 84.90",ns2_unearthed,aliens
"143.32 32.25 85.11",ns2_unearthed,aliens
"154.29 30.48 68.00",ns2_unearthed,aliens
"153.17 30.49 74.72",ns2_unearthed,aliens
"151.10 30.50 85.45",ns2_unearthed,marines
"151.01 30.93 82.73",ns2_unearthed,aliens
"154.14 30.41 77.44",ns2_unearthed,aliens
"154.79 30.30 78.39",ns2_unearthed,marines
