x,y,z,map
3.99,0.70,65.47,ns2_tram
-5.56,2.32,71.44,ns2_tram
-12.14,0.35,64.70,ns2_tram
-18.81,-1.48,49.68,ns2_tram
-22.58,-1.24,61.74,ns2_tram
-21.39,-1.51,61.35,ns2_tram
2.82,0.71,64.26,ns2_tram
-19.46,-1.48,56.95,ns2_tram
1.51,0.67,62.87,ns2_tram
12.66,-3.48,32.64,ns2_tram
18.39,-3.44,67.06,ns2_tram
-3.09,2.30,82.95,ns2_tram
45.10,-2.99,65.45,ns2_tram
1.08,0.61,80.03,ns2_tram
38.34,-3.64,72.60,ns2_tram
-8.59,3.47,69.45,ns2_tram
-21.66,-1.28,65.20,ns2_tram
-25.14,-1.51,77.19,ns2_tram
44.61,-2.42,40.40,ns2_tram
37.00,0.21,36.23,ns2_tram
41.80,-2.42,48.19,ns2_tram
