x,y,z,team
-49.77,1.73,-5.54,aliens
-20.17,-1.92,13.82,marines
-19.16,-1.92,10.47,marines
-23.69,-1.61,-26.28,aliens
-18.77,-1.61,-21.44,marines
-17.72,-1.61,-22.45,marines
-19.20,-1.61,-21.32,marines
-18.05,-1.65,-21.17,marines
-50.32,2.35,0.71,aliens
-38.61,0.14,-8.56,aliens
-36.49,-0.82,-0.00,aliens
-21.97,-0.75,1.46,aliens
-19.35,-0.22,-21.61,marines
-19.33,-1.61,-21.49,marines
-19.56,-1.59,-21.06,marines
-16.64,-1.62,-21.60,marines
-19.03,-1.92,10.03,marines
-11.17,0.59,-6.59,aliens
-18.16,-1.61,-22.50,marines
-18.40,-1.67,-22.00,marines
-16.15,-1.17,-21.69,marines
-18.14,-1.65,-20.85,aliens
-18.86,-1.92,9.78,marines
-18.64,-1.65,-21.38,marines
-18.75,-1.61,-25.53,marines
-17.16,-0.65,-21.26,marines
-16.01,-0.76,-23.85,marines
-18.36,-1.64,-19.79,aliens
-14.59,-0.25,-9.88,aliens
-20.48,-1.61,-22.40,marines
-20.26,-1.61,-21.79,marines
-19.71,-1.61,-22.49,marines
-18.93,-1.92,9.97,marines
-20.34,-1.61,-24.98,marines
-20.27,-1.67,-23.96,marines
-19.09,-1.21,-21.96,aliens
-17.30,-1.59,-21.10,marines
-18.95,-0.45,-18.50,marines
-26.04,0.83,-14.14,aliens
-39.09,-0.10,-6.19,marines
-32.92,-0.75,-1.56,aliens
-41.96,2.28,-9.07,aliens
-16.60,0.85,-10.50,aliens
-18.39,-1.92,12.50,marines
-21.27,-1.61,-23.21,marines
-18.49,-1.92,11.96,marines
-20.89,-1.61,-23.77,aliens
-18.79,-1.59,-20.66,marines
-18.91,-1.60,-18.63,marines
-18.05,-0.80,-16.10,aliens
-17.29,-1.59,-21.09,marines
-21.07,-0.50,-18.57,marines
-16.03,-0.73,-18.82,marines
-18.69,0.33,-13.10,aliens
-19.63,0.92,-25.33,aliens
-19.77,-1.61,-22.82,marines
-19.37,-1.33,7.67,marines
-19.59,-1.08,-24.29,marines
-21.85,-1.61,-23.00,marines
-19.22,-1.59,-20.58,marines
-20.34,-1.92,16.90,aliens
-20.04,-1.92,13.54,marines
-20.03,-1.92,16.96,marines
-19.55,-1.92,16.35,marines
-21.25,-1.92,18.76,marines
-19.14,-1.92,15.72,marines
-19.37,-1.92,14.92,marines
-20.42,-1.92,14.96,aliens
-18.71,-1.92,12.73,marines
-18.13,-1.92,11.55,marines
-18.38,-1.92,14.59,marines
-19.99,-0.75,4.61,aliens
-27.47,1.14,7.82,aliens
-19.27,-1.59,-20.58,marines
-28.55,-0.75,-9.58,marines
-19.06,-0.75,-13.46,marines
-19.64,-0.75,-11.85,aliens
-18.18,-0.75,-12.60,marines
-18.47,-1.61,-23.78,marines
-24.32,-0.75,-9.84,aliens
-19.39,-1.92,12.13,marines
-27.75,0.68,1.57,aliens
-19.93,-2.00,13.29,aliens
-18.89,-1.92,14.10,marines
-19.72,0.42,3.29,aliens
-18.10,-1.92,11.85,marines
-50.17,1.28,-1.84,aliens
-26.20,-0.82,-9.22,marines
-30.66,-0.75,-11.07,aliens
-19.27,0.91,-19.84,aliens
-19.39,-1.59,-19.36,marines
-19.22,-0.75,-12.57,marines
-28.75,0.25,1.25,aliens
-25.11,-0.82,-9.60,marines
-32.41,-0.82,2.14,aliens
-18.86,-1.92,12.67,marines
-20.78,-1.61,-21.82,marines
-16.59,-0.75,-12.05,aliens
-23.07,-0.75,-4.46,aliens
-34.78,-0.48,-6.36,aliens
-18.98,-0.51,-12.34,aliens
-22.04,-1.36,-22.25,marines
-18.71,0.50,-14.27,aliens
-18.83,-1.12,-21.47,marines
-20.60,-1.61,-22.75,marines
-20.55,-1.61,-21.64,marines
