coordinates,map,team
"-3.93 -3.35 -43.42",ns2_biodome,aliens
"-4.39 -3.85 -43.42",ns2_biodome,aliens
"-4.29 -3.56 -45.20",ns2_biodome,marines
"-4.14 -2.75 -45.54",ns2_biodome,aliens
"1.37 -1.96 -36.78",ns2_biodome,aliens
"-10.55 -1.82 -36.17",ns2_biodome,aliens
"-10.68 -2.37 -33.93",ns2_biodome,marines
"-5.85 -3.44 -55.34",ns2_biodome,marines
"-13.40 -1.59 -49.27",ns2_biodome,aliens
"-3.50 -3.59 -48.43",ns2_biodome,aliens
"-3.50 -2.71 -45.12",ns2_biodome,marines
"-5.22 -2.27 -45.50",ns2_biodome,aliens
"12.03 -3.85 -36.64",ns2_biodome,aliens
"-5.60 -2.85 -43.29",ns2_biodome,marines
"-4.28 -2.27 -39.20",ns2_biodome,aliens
"20.07 -5.67 -67.08",ns2_biodome,marines
"30.21 -5.67 -43.74",ns2_biodome,aliens
"29.32 -3.35 -38.34",ns2_biodome,aliens
"6.84 -3.85 -38.46",ns2_biodome,marines
"25.57 -4.46 -72.96",ns2_biodome,marines
"18.60 -4.56 -71.17",ns2_biodome,marines
"26.64 -5.78 -35.56",ns2_biodome,marines
"8.32 -3.85 -37.86",ns2_biodome,marines
"-20.87 -1.61 -50.81",ns2_biodome,marines
"-17.37 -1.08 -19.36",ns2_biodome,aliens
"-11.89 -0.75 -10.85",ns2_biodome,aliens
"-21.88 -1.61 -27.49",ns2_biodome,aliens
"26.10 -5.78 -43.37",ns2_biodome,aliens
"26.47 -5.78 -49.53",ns2_biodome,aliens
"36.06 -3.64 -74.46",ns2_biodome,aliens
"37.04 0.56 -70.87",ns2_biodome,aliens
"37.50 -1.02 -88.38",ns2_biodome,aliens
"43.92 0.13 -93.33",ns2_biodome,aliens
"-3.75 -3.85 -41.77",ns2_biodome,aliens
"39.04 -2.18 -77.84",ns2_biodome,aliens
"-6.21 -3.85 -49.18",ns2_biodome,marines
"40.21 -2.83 -63.21",ns2_biodome,marines
"-31.95 0.22 4.98",ns2_biodome,aliens
"12.36 -3.85 -36.20",ns2_biodome,marines
"3.25 -3.85 -39.31",ns2_biodome,marines
"24.35 -3.44 -73.13",ns2_biodome,aliens
"26.57 -5.70 -29.78",ns2_biodome,marines
"-25.10 -0.87 -39.25",ns2_biodome,aliens
"7.90 -3.85 -37.89",ns2_biodome,marines
"-5.29 -3.85 -45.57",ns2_biodome,marines
"-5.01 -2.20 -47.06",ns2_biodome,aliens
"-7.00 -1.96 -51.38",ns2_biodome,aliens
"-8.85 -1.39 -49.57",ns2_biodome,aliens
"-6.06 -3.88 -48.54",ns2_biodome,aliens
"-5.07 -3.85 -45.21",ns2_biodome,marines
"-3.82 -3.85 -43.67",ns2_biodome,marines
"-1.89 -3.85 -40.57",ns2_biodome,marines
"-22.14 -1.61 -43.27",ns2_biodome,marines
"-19.75 -1.61 -50.79",ns2_biodome,marines
"-21.46 -1.35 -45.03",ns2_biodome,aliens
"3.71 -3.85 -38.89",ns2_biodome,marines
"1.06 -3.17 -37.09",ns2_biodome,aliens
"3.07 -3.85 -40.31",ns2_biodome,marines
"-6.46 -3.85 -44.06",ns2_biodome,marines
"-6.83 -3.92 -45.46",ns2_biodome,marines
"-7.26 -3.85 -40.73",ns2_biodome,aliens
"-14.49 -1.61 -49.37",ns2_biodome,marines
"-11.09 -3.44 -55.27",ns2_biodome,marines
"-7.71 -3.85 -49.40",ns2_biodome,aliens
"-20.70 -1.61 -50.88",ns2_biodome,aliens
"-20.57 -0.76 -46.42",ns2_biodome,aliens
"-5.19 -3.85 -44.68",ns2_biodome,marines
"-5.71 -3.85 -45.78",ns2_biodome,marines
"-5.28 -3.85 -51.47",ns2_biodome,marines
"-10.64 -3.36 -49.13",ns2_biodome,marines
"-17.77 -0.03 -49.81",ns2_biodome,aliens
"-16.06 -1.61 -52.71",ns2_biodome,marines
"-18.83 -0.48 -23.14",ns2_biodome,aliens
"-20.68 -0.81 -23.53",ns2_biodome,marines
"-23.30 -1.53 -22.92",ns2_biodome,aliens
"-25.49 -1.33 -27.30",ns2_biodome,aliens
"-4.74 -3.85 -45.48",ns2_biodome,marines
"-3.25 -3.85 -41.03",ns2_biodome,marines
"-6.00 -3.85 -43.03",ns2_biodome,marines
"-5.29 -3.85 -38.67",ns2_biodome,marines
"-5.15 -3.34 -35.73",ns2_biodome,marines
"-5.51 -3.34 -35.66",ns2_biodome,marines
"-22.17 -1.61 -46.27",ns2_biodome,aliens
"-3.69 -3.85 -43.71",ns2_biodome,marines
"-5.51 -3.85 -44.82",ns2_biodome,marines
"-4.21 -3.85 -42.56",ns2_biodome,marines
"-2.84 -3.85 -42.65",ns2_biodome,marines
"-5.52 -3.85 -48.25",ns2_biodome,marines
"-14.08 -1.68 -51.62",ns2_biodome,aliens
"-5.28 -3.85 -44.92",ns2_biodome,marines
"-3.31 -3.85 -28.55",ns2_biodome,aliens
"-6.24 -3.85 -42.72",ns2_biodome,marines
"-5.37 -2.46 -43.53",ns2_biodome,marines
"-4.55 -3.85 -43.78",ns2_biodome,marines
"-3.05 -3.17 -59.68",ns2_biodome,marines
"-27.01 -3.12 -51.16",ns2_biodome,marines
"-27.74 1.09 -5.17",ns2_biodome,aliens
"-19.30 -1.58 -16.32",ns2_biodome,aliens
"-26.30 1.43 -40.40",ns2_biodome,aliens
"-22.09 -0.29 -28.82",ns2_biodome,marines
"-21.89 0.53 -27.45",ns2_biodome,aliens
"-4.53 -3.85 -42.22",ns2_biodome,marines
"-5.10 -3.85 -42.14",ns2_biodome,marines
"-3.51 -3.85 -42.43",ns2_biodome,marines
"-4.25 -3.85 -43.13",ns2_biodome,marines
"-26.24 -1.61 -30.63",ns2_biodome,aliens
"-9.21 -3.56 -51.03",ns2_biodome,aliens
"-18.24 -1.60 -47.10",ns2_biodome,marines
"-23.10 -0.33 -42.43",ns2_biodome,aliens
"-4.64 -3.85 -45.66",ns2_biodome,marines
"-4.58 -3.85 -43.56",ns2_biodome,marines
"-3.93 -3.85 -42.90",ns2_biodome,marines
"-4.27 -3.85 -43.21",ns2_biodome,marines
"-24.00 -1.61 -48.76",ns2_biodome,aliens
"-26.18 0.24 -43.93",ns2_biodome,aliens
"-8.75 -3.32 -50.28",ns2_biodome,aliens
"-6.40 -2.42 -49.33",ns2_biodome,aliens
"-5.09 -3.85 -43.62",ns2_biodome,marines
"-4.49 -3.85 -42.91",ns2_biodome,marines
"-3.66 -3.85 -42.35",ns2_biodome,marines
"-4.32 -3.85 -42.49",ns2_biodome,marines
"-4.14 -3.85 -43.43",ns2_biodome,marines
"-4.50 -3.85 -43.35",ns2_biodome,marines
"-18.20 -1.59 -20.71",ns2_biodome,aliens
"-22.46 -0.08 -28.84",ns2_biodome,aliens
"-4.76 -3.85 -43.00",ns2_biodome,marines
"-4.53 -3.85 -43.33",ns2_biodome,marines
"-6.30 -3.85 -43.62",ns2_biodome,marines
"-5.54 -3.85 -45.17",ns2_biodome,marines
"-20.59 -1.61 -48.42",ns2_biodome,aliens
"-4.15 -3.85 -43.74",ns2_biodome,marines
"-4.30 -3.85 -43.25",ns2_biodome,marines
"-4.52 -3.85 -43.23",ns2_biodome,marines
"-4.35 -3.85 -43.67",ns2_biodome,marines
"-4.81 -3.85 -43.45",ns2_biodome,marines
"-25.21 -0.96 -39.03",ns2_biodome,aliens
"-23.35 -1.61 -40.49",ns2_biodome,marines
"-22.35 -0.99 -39.92",ns2_biodome,aliens
"-6.02 -3.85 -44.12",ns2_biodome,marines
"-4.17 -3.85 -43.39",ns2_biodome,marines
"-3.38 -2.42 -42.58",ns2_biodome,marines
"-4.11 -3.85 -43.67",ns2_biodome,marines
"-4.22 -3.85 -42.84",ns2_biodome,marines
"-6.62 -3.85 -44.60",ns2_biodome,aliens
"-9.89 -2.76 -59.67",ns2_biodome,marines
"-26.44 0.25 -41.59",ns2_biodome,aliens
